Value,No concern,Mild concern,Moderate concern,Severe concern
0,1.0,0.0,0.0,0.0
1,0.95,0.05,0.0,0.0
2,0.9,0.1,0.0,0.0
3,0.85,0.15,0.0,0.0
4,0.8,0.2,0.0,0.0
5,0.75,0.25,0.0,0.0
6,0.7,0.3,0.0,0.0
7,0.65,0.35,0.0,0.0
8,0.6,0.4,0.0,0.0
9,0.55,0.45,0.0,0.0
10,0.5,0.5,0.0,0.0
11,0.45,0.55,0.0,0.0
12,0.4,0.6,0.0,0.0
13,0.35,0.65,0.0,0.0
14,0.3,0.7,0.0,0.0
15,0.25,0.75,0.0,0.0
16,0.2,0.8,0.0,0.0
17,0.15,0.85,0.0,0.0
18,0.1,0.9,0.0,0.0
19,0.05,0.95,0.0,0.0
20,0.0,1.0,0.0,0.0
25,0.0,1.0,0.0,0.0
30,0.0,0.8,0.2,0.0
35,0.0,0.4,0.6,0.0
40,0.0,0.0,1.0,0.0
45,0.0,0.0,1.0,0.0
50,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0
60,0.0,0.0,0.6,0.4
65,0.0,0.0,0.2,0.8
70,0.0,0.0,0.0,1.0
75,0.0,0.0,0.0,1.0
80,0.0,0.0,0.0,0.6
85,0.0,0.0,0.0,0.8
90,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
