Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,0.9847715736040609,0.015228426395939087,0.0,0.0
61,0.9847715736040609,0.015228426395939087,0.0,0.0
62,0.9796954314720813,0.02030456852791878,0.0,0.0
63,0.9695431472081218,0.030456852791878174,0.0,0.0
64,0.9695431472081218,0.030456852791878174,0.0,0.0
65,0.9593908629441624,0.04060913705583756,0.0,0.0
66,0.9593908629441624,0.04060913705583756,0.0,0.0
67,0.9543147208121827,0.04568527918781726,0.0,0.0
68,0.9543147208121827,0.04568527918781726,0.0,0.0
69,0.949238578680203,0.050761421319796954,0.0,0.0
70,0.9289340101522843,0.06598984771573604,0.005076142131979695,0.0
71,0.9289340101522843,0.05583756345177665,0.015228426395939087,0.0
72,0.9289340101522843,0.05583756345177665,0.015228426395939087,0.0
73,0.9289340101522843,0.05583756345177665,0.015228426395939087,0.0
74,0.9289340101522843,0.050761421319796954,0.02030456852791878,0.0
75,0.9035532994923858,0.06598984771573604,0.030456852791878174,0.0
76,0.8984771573604061,0.07106598984771574,0.030456852791878174,0.0
77,0.8883248730964467,0.08121827411167512,0.030456852791878174,0.0
78,0.8781725888324873,0.09137055837563451,0.030456852791878174,0.0
79,0.8781725888324873,0.08629441624365482,0.03553299492385787,0.0
80,0.6598984771573604,0.27918781725888325,0.06091370558375635,0.0
81,0.6395939086294417,0.27411167512690354,0.08629441624365482,0.0
82,0.6192893401015228,0.2893401015228426,0.08629441624365482,0.005076142131979695
83,0.6040609137055838,0.29949238578680204,0.09137055837563451,0.005076142131979695
84,0.5025380710659898,0.4010152284263959,0.09137055837563451,0.005076142131979695
85,0.36548223350253806,0.4263959390862944,0.17766497461928935,0.030456852791878174
86,0.3147208121827411,0.4619289340101523,0.18781725888324874,0.03553299492385787
87,0.2639593908629442,0.47715736040609136,0.2182741116751269,0.04060913705583756
88,0.12690355329949238,0.36548223350253806,0.43147208121827413,0.07614213197969544
89,0.07614213197969544,0.36548223350253806,0.467005076142132,0.09137055837563451
90,0.015228426395939087,0.25380710659898476,0.5939086294416244,0.13705583756345177
91,0.01015228426395939,0.19796954314720813,0.6040609137055838,0.18781725888324874
92,0.005076142131979695,0.05583756345177665,0.6040609137055838,0.3350253807106599
93,0.0,0.04060913705583756,0.5532994923857868,0.40609137055837563
94,0.0,0.0,0.22842639593908629,0.7715736040609137
95,0.0,0.0,0.10152284263959391,0.8984771573604061
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
